TC,io,rice,barley,bean,potato,vegi,fruit,flower,misscrop,dairy,meat,pork,poultry,misslstock
oinput,202,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,203,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,204,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,205,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,206,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,207,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,208,0.008725469,0.005636101,0,0,0,0,0,0,0.000758083,0,0,0,0
oinput,209,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,210,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,211,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,212,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,213,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,214,0.000633902,0.00040946,0,0,0.000420136,0,0,0,0,0,0.006067314,0.0013933,0
oinput,215,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,216,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,217,0,0,0,0,0,0,0,0,0,0,0.001328168,0,0
oinput,218,0,0,0,0,0,0,0,0,0,0,0.002273985,0,0
oinput,219,0,0,0,0,0.000261304,0.001883097,0,0,0.000634674,0.000959178,0.00048297,0,0
oinput,220,0,0,0,0,0,6.61E-05,0,0,0.004724798,0.006685698,0.005483725,0.006372298,0
oinput,221,0,0,0,0,0,0.000330368,0,0,0.002908924,0.002477876,0.003712834,0.001700645,0
oinput,222,0,0,0,0,0,0.001463058,0,0,0.010895243,0.019217813,0.01664235,0.006413277,0
oinput,223,0,0,0,0,0,0,0,0,0.002609217,0.001775621,0.003451225,0.004323328,0
oinput,224,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,225,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,226,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,227,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,228,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,229,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,230,0,0,0,0,0,0,0,0,0,0.000199829,0.00080495,0,0
oinput,231,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,232,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,233,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,234,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,235,0.005132785,0.001204295,0,0,0.001103283,0,0,0.008183481,0,0.000491008,0.00198219,0.002540723,0
oinput,236,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,237,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,238,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,239,0,0,0,0,0,0,0,0,0,6.28E-05,8.05E-05,0,0
oinput,240,0,0,0,0,0,0,0,0,0.007457424,0.002700542,0,0,0
oinput,241,8.42E-05,0,0,0,6.32E-05,0,0,0,0,0,0,0,0
oinput,242,0,0,0,0,0.000338158,0,0,0,0.001498537,0.006548673,0.002928007,0.00344227,0
oinput,243,0,0,0,0,0,0,0,0,0.008497585,0.000833571,0.002787141,0,0
oinput,244,0.00022373,0.000144515,0,0,0,0.000287892,0.038923701,0.006781743,0.009502486,0.112446474,0,0.000553222,0
oinput,245,0,0,0,0,0,0,0.027308007,0.005019558,0.011053912,0.051213246,0.002364542,0.000778609,0
oinput,246,0,0,0,0,0,0,0,0,0,0.001604339,0.004195804,0,0
oinput,247,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,248,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,249,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,250,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,251,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,252,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,253,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,254,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,255,0.003039856,0.000910447,0.12350511,0,0.003412322,0.024744555,0.001468651,0.007515986,0.030693558,0.009083643,0.045016854,0.001782604,0.000306896
oinput,256,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,257,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,258,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,259,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,260,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,261,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,263,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,264,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,265,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,266,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,267,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,268,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,269,0.000233546,9.15E-05,0,0,5.12E-05,8.97E-05,0.000436145,5.34E-05,0.000511265,0.000713674,0.001458973,0.000430284,0
oinput,270,0.000145431,0,0,0,4.78E-05,0.000184062,0,0,0,0.000205538,0.000362228,0,0
oinput,271,0.000887894,0,0,0,0.00016054,0,0,0,0.001745355,0.000913503,0.001006188,0.00069665,0
oinput,272,0,0,0,0,0,0,0,0,0.000775713,0.001792749,0.00037229,0,0
oinput,287,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,288,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,290,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,291,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,292,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,293,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,294,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,296,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,297,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,298,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,299,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,300,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,301,0,0,0,0,0,0,0,0,0,0,0,0,0
oserv,25,0.41938176,0.239829387,0.320275487,0.287816633,0.427389974,0.173645777,0.058497541,0.064761096,0.13586352,0.096639934,0.106454165,0.045417738,0
oserv,273,0.159955124,0.177103644,0,0,0,0,0,0,0,0,0,0,0
oserv,282,0,0,0,0,0,0,0,0,0,0,0,0,0
oserv,283,7.94E-05,8.79E-05,0,0,0,0,0,0,0,0.000462685,0,0.000738796,0.001216887
oserv,284,0,0,0,0,0,0,0,0,0,0,0,0,0
oserv,285,0.000463421,0.000513104,0,0,0,0,0.00061717,0.000208744,0,0.004705022,0.00010644,0.002212748,0.002137352
oserv,286,0,0,0,0,0,0,0.015842819,0,0,0.001950038,0.004115679,0,0.006490062
oserv,302,0.13017903,0.166303596,0.111159853,0.279899022,0.118598783,0.235541815,0.248967672,0.130436347,0.375078528,0.481228503,0.522991034,0.545396812,0.317810228
oserv,303,0.029376554,0.054738686,0.06527461,0.081356321,0.180397623,0.166498112,0.218319134,0.211026014,0.075133281,0.082176268,0.065494289,0.118256442,0.076492246
oserv,304,3.70E-05,4.10E-05,0,0,0,0,0,8.64E-05,0.000789603,0.002053562,0.00049672,8.73E-05,0.002074948
oserv,305,4.75E-06,0,0,0,1.77E-05,1.44E-05,1.27E-05,7.20E-06,0,0,0,0,0
oserv,306,0.000116433,0.000128916,0,0,0.000291568,0.000273526,0.010962722,0.000122367,0.001394772,0.004738826,0.005485207,0.000691484,0.006833287
oserv,307,0.069664772,0.081003031,0.016757326,0.031268826,0.01300476,0.008497299,0.024794966,0.022645149,0.022443157,0.024494849,0.016938148,0.030530823,0.058519767
oserv,308,0.000631482,0.002130057,0.005088612,0.004417797,0.001347481,0.001104901,0.011503541,0.003858169,0.005924901,0.003437392,0.002982093,0.000667828,0.03188867
oserv,309,0.001924296,0.002776315,0.002544306,0.002409708,0.000636273,0.000377898,0.000763509,0.001072513,0.038408115,0.003183866,0.003748461,0.002061713,0.009142251
oserv,310,0,0,0,0,0,0,0,0,0,0,0,0,0
oserv,311,0.000433552,0.00047127,0,0.001692533,8.86E-05,0.000179951,0.015772831,0.002001065,0.000172906,0.000268315,0.001133586,2.73E-05,0.001326094
oserv,312,0.000821204,0.000909244,0,0,0.000238432,0.018214667,0.020926519,0.001540388,0.003250627,0.004637415,0.007888976,0.01099641,0
oserv,313,0,0,0,0,0,0,0,0,0,0,0,0,0
oserv,314,3.86E-06,4.27E-06,0,0,0,0,0.000286316,0,0,0,2.13E-05,0,0
oserv,315,0.00096888,0.001687097,0.000350939,0.000631114,0.001200335,0.001507992,0.003747558,0.00168435,0.000576352,0.000456347,0.000356574,0.000189248,0.001482106
oserv,316,0.03389305,0.044969481,0.025750132,0.025387992,0.012365763,0.078757472,0.014913883,0.014417748,0.013434771,0.01911587,0.020840947,0.011615106,0.019532591
oserv,317,0.001439044,0.004742444,0.0107475,0.010556815,0.004768639,0.003660209,0.006114437,0.007234067,0.01574018,0.010430487,0.018852293,0.027817659,0.03862835
oserv,318,0.006607711,0.014549755,0.029654325,0.010958433,0.012980236,0.046395036,0.034364283,0.012690209,0.010403158,0.021431409,0.020301651,0.005280751,0.016724391
oserv,319,0.000800558,0.001776422,0.00364099,0.001004045,0.001568201,0.005603683,0.004154763,0.001518794,0.001256448,0.002592305,0.002449893,0.000640532,0.002028144
oserv,320,0.000250612,0.000543001,0.001096684,0.000458992,0.000472777,0.001691542,0.001247065,0.000439083,0.000380392,0.000781706,0.000739758,0.000194707,0.000624044
oserv,321,0.000676472,0.001570038,0.003290051,0.000803236,0.001431954,0.005121413,0.003792096,0.001331644,0.001152705,0.002370469,0.002240561,0.000584122,0.001856532
oserv,322,5.46E-05,0,0,0,0.000156684,0.000557849,0.002055113,0.005995998,0.021993602,0.009733291,0.011456489,0.007213266,0.012902119
oserv,323,0.000494142,0.004773921,0.005483418,0.007114375,0.000746633,0.001248862,0.001380679,0.011502527,0.00273191,0.002072576,0.001193902,0.001230113,0.004976754
oserv,324,0.00114606,0.010134217,0.002982979,0.005909521,0.001866582,0.003095162,0.003442155,0.011106632,0.006835538,0.005180384,0.002987415,0.001219195,0.004961153
oserv,325,0.000148399,1.62E-05,0.001447622,0.001262228,0.00022617,0.000457076,0.000744422,0.000727006,0.000328521,0.001250729,0.000580098,0.000151035,0.000951668
oserv,326,0.000265624,0.000278099,0.000570275,0.000372931,0.00030928,0.000316714,0.000241778,0.000431885,0.000247831,0.000238737,0.000207558,0.000203806,0.000265219
oserv,327,0,0,0,0,0,0,0,0,0,0,0,0,0
oserv,328,0.000176991,0.00067676,0.000614143,0.001118793,0.000572237,0.000752196,0.003919348,0.000928552,0.000420737,0.000891567,0.000879904,0.000192888,0.000468033
oserv,329,0,0,0,0,0,0,0,0,0,0,0,7.28E-05,0
oserv,330,0.000183607,0,0,0.002467082,0.000568149,0.000233937,0.000636258,0.000115169,0.000714677,0.000130988,0.000849746,0.0007115,0
oserv,331,1.85E-05,2.05E-05,0,0,0,0,0,0,0.000242068,2.75E-05,0.000832006,0.000107362,0.000764454
oserv,332,1.00E-05,1.11E-05,0,0,0,0,0.001565194,0,0,0,0.000243038,4.73E-05,0
oserv,333,0,0,0,0,0,0,0,0,0,0,0,0,0
oserv,334,6.17E-06,6.83E-06,0,0,0,0,0,0,0,0,0,0,0
oserv,335,0.110249034,0.137879336,0.336111599,0.20399323,0.185490529,0.18969743,0.143838798,0.30321898,0.162819515,0.152299482,0.097717217,0.12593737,0.224203563
oserv,336,0,0,0,0,0,0,0,0,0,0,0,0,0
oserv,337,0.00655635,0.007399707,0.002675908,0.001635159,0.000846093,0.000727003,0.000311766,0.045369477,0.007602086,0.005514193,0.009208832,0.00820136,0.041249337
oserv,338,0,0,0,0,0,0,0,0,0,0,0,0,0
oserv,339,0.004205004,0.004776469,0.002017898,0.001204854,0.00085563,0.000550651,0.000241778,0.052416394,0.00446673,0.003236684,0.018137371,0.009819068,0.022262785
oserv,340,0.009982647,0.01220773,0.024083172,0.014601681,0.01323093,0.013521538,0.01024375,0.024207132,0.012016945,0.011146699,0.005126859,0.009422375,0.018362507
oserv,341,0,0,0,0,0,0,0,0,0,0,0,0,0
oserv,343,0,0,0,0,0,0,0,0,0,0,0,0,0
oserv,344,6.17E-06,6.83E-06,0,0,0.000205733,0.002321371,0.000648983,8.64E-05,0.000230541,0.001871868,0.002471181,0.000205625,0
oserv,346,0,0,0,0,0,0,0,0,0,0,0,0,0
oserv,347,0,0,0,0,0,0,0,0,0,0,0,0,0
oserv,348,0,0,0,0,0,0,0,0,0,0,0,0,0
oserv,349,0.000195248,0.000209113,0.000175469,8.61E-05,0.000144422,0,0.000165427,0.005002663,0,4.23E-05,0.000191592,7.10E-05,0.001232488
oserv,350,0.00141979,0,0,0,0.00085018,0,0.005789946,0.000244735,0.001654131,0.002514134,0.002953709,0.000724238,0.005366782
oserv,351,0.000588705,0.00681866,0.008554132,0.01480249,0.004552007,0.006064358,0.009104849,0.03570246,0,0,0,0,0
oserv,352,0.000107632,0,0,0,8.04E-05,0.000215942,0.005363653,0.001079712,0,0.000242963,0.002731959,0,0.002355768
oserv,353,0,0,0,0,0,0,0,0,0,0,0,0,0
oserv,354,0.000725634,0.001466327,0.00280751,0.001118793,0.001648587,0.002530115,0.03635577,0.001914688,0.00062246,0.000986639,0.001027146,0.000380316,0.000795657
oserv,355,0.002295516,0.002541614,0,0,0,0,0,0,0,0,0,0,0
oserv,356,0.000802704,0.001653019,0.003070714,0.001262228,0.001829795,0.002803641,0.001806972,0.00209464,0.007717357,0.012293904,0.012836661,0.004783975,0.009859902
oserv,357,0.000119518,0.000132331,0,0,0,0,0.004390179,0.000158358,0.000328521,0.001007766,0.000447048,0.000189248,0
oserv,358,0.000183317,0.001840397,0,0,0.000200283,0.000219541,0.007323327,0.000741402,6.92E-05,7.39E-05,0.000218202,5.46E-05,0
oserv,359,0.000222907,0.002870051,0,0,0.000249332,0,0.007813246,0.002303385,0,5.92E-05,0.000232394,6.73E-05,0
oserv,360,4.55E-05,5.04E-05,0,0,2.72E-06,0,0,0.000165556,0,8.45E-06,4.26E-05,1.27E-05,7.80E-05
oserv,361,7.73E-06,7.68E-06,0,0,1.36E-06,3.60E-06,0,2.88E-05,5.76E-06,2.11E-06,7.10E-06,1.82E-06,1.56E-05
oserv,362,0,0,0,0,0,0,0,0,0,0,0,0,0
oserv,363,0,0,0,0,0,0,0,0,0,0,0,0,0
oserv,364,0,0,0,0,0,0,0.002595932,0,0,0,0,4.19E-05,0
oserv,365,0,0,0,0,0,0,0.001444305,0,0,0,0,0,0
oserv,366,0.000579084,0.000641166,0,0,0.003610541,0.010325604,0.01448759,0,0,0,0,0,0
oserv,367,0.000232675,0,0,0,0.000618561,0.003177939,0.021174659,0.005096238,0,0,0,0,0
oserv,368,0,0,0,0,0,0,0,0,0,0,0,0,0
oserv,369,0,0,0,0,0,0,0,0,0,0,0,0,0
oserv,370,0,0,0,0,0,0,0,0,0,0,0,0,0
oserv,371,3.24E-05,3.59E-05,0,0,0,0,0,0,0,0,0,0,0
oserv,372,0,0,0,0,0,0,0,0,0,0,0,0,0
oserv,373,0.000130095,2.05E-05,0,0,0.000243882,0.000896157,0.000661708,0.000208744,0.000190196,0.000407755,0.000392054,9.83E-05,0.000312022
oserv,374,0.000639881,0.001345151,0.002763643,0.001204854,0.001207147,0.00431883,0.003187652,0.001194881,0.000968272,0.001992293,0.001885762,0.000494957,0.001560111
oserv,375,2.78E-05,3.07E-05,0,0,0,0,0,0,0,0,0,0,0
oserv,376,9.25E-06,1.02E-05,0,0,0.002013728,0.003955329,0.007635093,0,0,0,0.002998059,0.000693303,0.007082904
oserv,377,0,0,0,0,0,0,0,0,0,0,0,0,0
oserv,378,1.93E-05,0.005904892,0.009606949,0.002840013,2.59E-05,0.001936276,0.001953311,0.001094108,0.003440823,0.006845205,0.002380707,1.27E-05,0
oserv,379,8.71E-05,0,0,0,0.000245244,0.000863766,0.002016937,0.009292717,0.062453532,0.011782627,0.01519608,0.023979925,0.044369559
oserv,380,0,0,0,0,0,0,0.000299041,0,0,0,0,0,0
oserv,381,0.000176483,0.00033246,0.000701878,0.000344244,0.00033108,0.001176881,0.000865311,0.000273527,0.000270886,0.000542968,0.00051446,0.000141936,0.000436831
oserv,382,0,0,0,0,0,0,0,0,0,0,0,0,0
oserv,383,0,0,0,0,0,0,0,0,0,0,0,0,0
oserv,384,0.000139531,2.31E-05,0.000701878,0,0.000271131,0.000946544,0.000693521,0.000215942,0.000224777,0.000447896,0.000415116,0.000109182,0.000358826
pest,124,1,1,1,1,1,1,1,1,0,0,0,0,0
seed,1,0.99208845,0.960684409,0.883389479,0.144764495,0.265618008,1,0.01975908,0.379087828,0,0,0,0,0
seed,2,0.007907793,0.039311879,0,0,0,0,0,0,0,0,0,0,0
seed,3,0,0,0.116610521,0,0.111983129,0,0,0,0,0,0,0,0
seed,4,0,0,0,0.855235505,0,0,0,0,0,0,0,0,0
seed,5,0,0,0,0,0.008631299,0,0,0,0,0,0,0,0
seed,6,0,0,0,0,0,0,0,0,0,0,0,0,0
seed,7,0,0,0,0,0,0,0,0.523386085,0,0,0,0,0
seed,8,0,0,0,0,0,0,0,0.01330629,0,0,0,0,0
seed,9,0,0,0,0,0,0,0,0,0,0,0,0,0
seed,10,3.76E-06,3.71E-06,0,0,0,0,0.95813389,0,0,0,0,0,0
seed,11,0,0,0,0,0,0,0,0,0,0,0,0,0
seed,12,0,0,0,0,0.613767565,0,0.02210703,0.083936911,0,0,0,0,0
seed,13,0,0,0,0,0,0,0,0.000282885,0,0,0,0,0
smach,88,0,0,0,0,0.25791675,0,0.106164384,0.775157023,0,0,0,0,0.932229496
smach,186,0,0,0,0,0,0,0.099315068,0,0,0.026634383,0,0,0
smach,187,0.140180754,0,0,0,0,0,0,0,0,0.011622276,0.049476689,0.08356546,0
smach,188,0.533879891,0.995379737,1,0.987179487,0.201752639,0.698578199,0.363013699,0.188761192,0.283737024,0.075544794,0.460513796,0.317548747,0
smach,189,0.207785656,0,0,0,0.022306313,0,0.311643836,0,0.607266436,0.726392252,0.128449096,0.21448468,0.034270312
smach,190,0,0,0,0,0.323043218,0,0,0,0,0.017433414,0,0.128133705,0
smach,191,0.118153699,0.004620263,0,0.012820513,0.194981079,0.301421801,0.119863014,0.036081785,0.10899654,0.142372881,0.361560419,0.256267409,0.033500193
Surplus,388,1,1,1,1,1,1,1,1,1,1,1,1,1
TW,385,0.239900196,0.245741126,0.063268455,0.117638347,0.633169868,0.582009523,0.477638759,0.220897226,0.47187669,0.481294976,0.350312312,0.374272394,0.677590485
TW,386,-3.05E-05,-2.89E-05,0,0,-0.000654854,0,0,0,0,0,0,-0.001685674,-0.001369043
TW,390,0.760130328,0.754287754,0.936731545,0.882361653,0.367484987,0.417990477,0.522361241,0.779102774,0.52812331,0.518705024,0.649687688,0.62741328,0.323778557
water,281,1,0,0,0,1,1,1,1,1,1,1,1,1
