Big,B_name,Middle,M_name,Small,S_name,Micro,Micro_name,Tiny,Tiny_name,KAIST,Ebalance,현재 CGE,현재 CGE (한글),조정 CGE ,Change,Defence,
A,"농업, 임업 및 어업",1,농업,11,작물재배업,111,곡물및기타식량작물 재배업,1110,곡물 및 기타 식량작물 재배업,농림어업,농림어업,Rice & Barley & Bean & Potato,미곡 & 맥류 & 두류 & 서류,Rice & Barley & Bean & Potato,KEEP,Maintain current Agriculture,
A,"농업, 임업 및 어업",1,농업,11,작물재배업,112,"채소,화훼작물및종묘 재배업",1121,채소작물 재배업,농림어업,농림어업,Vegi,채소,Vegi,KEEP,Maintain current Agriculture,
A,"농업, 임업 및 어업",1,농업,11,작물재배업,112,"채소,화훼작물및종묘 재배업",1122,화훼작물 재배업,농림어업,농림어업,Flower,화훼,Flower,KEEP,Maintain current Agriculture,
A,"농업, 임업 및 어업",1,농업,11,작물재배업,112,"채소,화훼작물및종묘 재배업",1123,종자 및 묘목 생산업,농림어업,농림어업,MissCrop,기타작물,MissCrop,KEEP,Maintain current Agriculture,
A,"농업, 임업 및 어업",1,농업,11,작물재배업,113,"과실,음료향신용 작물재배업",1131,과실작물 재배업,농림어업,농림어업,Fruit,과수,Fruit,KEEP,Maintain current Agriculture,
A,"농업, 임업 및 어업",1,농업,11,작물재배업,113,"과실,음료향신용 작물재배업",1132,음료용 및 향신용 작물 재배업,농림어업,농림어업,MissCrop,기타작물,MissCrop,KEEP,Maintain current Agriculture,
A,"농업, 임업 및 어업",1,농업,11,작물재배업,114,기타작물재배업,1140,기타 작물 재배업,농림어업,농림어업,MissCrop,기타작물,MissCrop,KEEP,Maintain current Agriculture,
A,"농업, 임업 및 어업",1,농업,11,작물재배업,115,시설작물재배업,1151,콩나물 재배업,농림어업,농림어업,Vegi,채소,Vegi,KEEP,Maintain current Agriculture,
A,"농업, 임업 및 어업",1,농업,11,작물재배업,115,시설작물재배업,1152,"채소,화훼 및 과실작 시설재배업",농림어업,농림어업,Vegi,채소,Vegi,KEEP,Maintain current Agriculture,
A,"농업, 임업 및 어업",1,농업,11,작물재배업,115,시설작물재배업,1159,기타 시설작물 재배업,농림어업,농림어업,Vegi,채소,Vegi,KEEP,Maintain current Agriculture,
A,"농업, 임업 및 어업",1,농업,12,축산업,121,소 사육업,1211,젖소 사육업,농림어업,농림어업,Dairy,낙농,Dairy,KEEP,Maintain current Agriculture,
A,"농업, 임업 및 어업",1,농업,12,축산업,121,소 사육업,1212,육우 사육업,농림어업,농림어업,Meat,육우,Meat,KEEP,Maintain current Agriculture,
A,"농업, 임업 및 어업",1,농업,12,축산업,122,양돈업,1220,양돈업,농림어업,농림어업,Pork,양돈,Pork,KEEP,Maintain current Agriculture,
A,"농업, 임업 및 어업",1,농업,12,축산업,123,가금류조류사육업,1231,양계업,농림어업,농림어업,Poultry,가금,Poultry,KEEP,Maintain current Agriculture,
A,"농업, 임업 및 어업",1,농업,12,축산업,123,가금류조류사육업,1239,기타 가금류 및 조류 사육업,농림어업,농림어업,Poultry,가금,Poultry,KEEP,Maintain current Agriculture,
A,"농업, 임업 및 어업",1,농업,12,축산업,129,기타 축산업,1291,말 및 양 사육업,농림어업,농림어업,MissLstock,기타축산,MissLstock,KEEP,Maintain current Agriculture,
A,"농업, 임업 및 어업",1,농업,12,축산업,129,기타 축산업,1299,그외 기타 축산업,농림어업,농림어업,MissLstock,기타축산,MissLstock,KEEP,Maintain current Agriculture,
A,"농업, 임업 및 어업",1,농업,13,작물재배 축산복합농업,130,작물재배 및 축산 복합농업,1300,작물재배 및 축산 복합농업,농림어업,농림어업,MissCrop,기타작물,MissCrop,KEEP,Maintain current Agriculture,
A,"농업, 임업 및 어업",1,농업,14,작물재배 및 축산 관련 서비스업,141,작물재배 관련 서비스업,1411,작물재배 지원 서비스업,농림어업,농림어업,Commercial,상업,Commercial,KEEP,Maintain current Agriculture,
A,"농업, 임업 및 어업",1,농업,14,작물재배 및 축산 관련 서비스업,141,작물재배 관련 서비스업,1412,농산물건조선별기타수확후서비스,농림어업,농림어업,Commercial,상업,Commercial,KEEP,Maintain current Agriculture,
A,"농업, 임업 및 어업",1,농업,14,작물재배 및 축산 관련 서비스업,141,작물재배 관련 서비스업,1412,축산 관련 서비스업,농림어업,농림어업,Commercial,상업,Commercial,KEEP,Maintain current Agriculture,
A,"농업, 임업 및 어업",1,농업,15,수렵 및 관련 서비스업,150,수렵 및 관련 서비스업,1500,수렵 및 관련 서비스업,농림어업,농림어업,Commercial,상업,Commercial,KEEP,Maintain current Agriculture,
A,"농업, 임업 및 어업",2,임업,20,임업,201,영림업,2011,임업용 종묘 생산업,농림어업,농림어업,FF,임어업,FF,KEEP,Maintain current Agriculture,
A,"농업, 임업 및 어업",2,임업,20,임업,201,영림업,2012,육림업,농림어업,농림어업,FF,임어업,FF,KEEP,Maintain current Agriculture,
A,"농업, 임업 및 어업",2,임업,20,임업,201,영림업,2013,야생임산물채취업,농림어업,농림어업,FF,임어업,FF,KEEP,Maintain current Agriculture,
A,"농업, 임업 및 어업",2,임업,20,임업,202,벌목업,2020,벌목업,농림어업,농림어업,FF,임어업,FF,KEEP,Maintain current Agriculture,
A,"농업, 임업 및 어업",2,임업,20,임업,203,임업 관련 서비스업,2030,임업 관련 서비스업,농림어업,농림어업,Commercial,상업,Commercial,KEEP,Maintain current Agriculture,
A,"농업, 임업 및 어업",3,어업,31,어로어업,311,해면어업,3111,원양 어업,농림어업,농림어업,FF,임어업,FF,KEEP,Maintain current Agriculture,
A,"농업, 임업 및 어업",3,어업,31,어로어업,311,해면어업,3112,연근해 어업,농림어업,농림어업,FF,임어업,FF,KEEP,Maintain current Agriculture,
A,"농업, 임업 및 어업",3,어업,31,어로어업,312,내수면 어업,3120,내수면 어업,농림어업,농림어업,FF,임어업,FF,KEEP,Maintain current Agriculture,
A,"농업, 임업 및 어업",3,어업,32,양식어업 및 어업관련 서비스업,321,양식 어업,3211,해면 양식 어업,농림어업,농림어업,FF,임어업,FF,KEEP,Maintain current Agriculture,
A,"농업, 임업 및 어업",3,어업,32,양식어업 및 어업관련 서비스업,321,양식 어업,3212,내수면 양식 어업,농림어업,농림어업,FF,임어업,FF,KEEP,Maintain current Agriculture,
A,"농업, 임업 및 어업",3,어업,32,양식어업 및 어업관련 서비스업,321,양식 어업,3213,수산물 부화 및 종묘 생산업,농림어업,농림어업,FF,임어업,FF,KEEP,Maintain current Agriculture,
A,"농업, 임업 및 어업",3,어업,32,양식어업 및 어업관련 서비스업,322,어업관련서비스,3220,어업 관련 서비스업,농림어업,농림어업,Commercial,상업,Commercial,KEEP,Maintain current Agriculture,
B,광업,5,"석탄, 원유 및 천연가스 광업",51,석탄 광업,510,석탄 광업,5100,석탄 광업,광업,광업,Coal,석탄,Coal,KEEP,Necessary for emission estimation,
B,광업,5,"석탄, 원유 및 천연가스 광업",51,석탄 광업,510,석탄 광업,5100,석탄 광업,광업,광업,Coal,석탄,Coal,KEEP,Necessary for emission estimation,
B,광업,5,"석탄, 원유 및 천연가스 광업",52,원유 및 천연가스 채굴업,520,원유 및 천연가스 채굴업,5200,원유 및 천연가스 채굴업,광업,광업,Oil & LNG,원유 & 천연가스,Oil & LNG,KEEP,Necessary for emission estimation,
B,광업,6,금속 광업,61,철 광업,610,철 광업,6100,철 광업,광업,광업,Mining,기타광업,Mining,KEEP,,
B,광업,6,금속 광업,62,비철금속광업,621,우라늄토륨광업,6210,우라늄 및 토륨 광업,광업,광업,Mining,기타광업,Mining,KEEP,,
B,광업,6,금속 광업,62,비철금속광업,629,기타 비철금속 광업,6291,금·은 및 백금 광업,광업,광업,Mining,기타광업,Mining,KEEP,,
B,광업,6,금속 광업,62,비철금속광업,629,기타 비철금속 광업,6292,연 및 아연 광업,광업,광업,Mining,기타광업,Mining,KEEP,,
B,광업,6,금속 광업,62,비철금속광업,629,기타 비철금속 광업,6299,그외 기타 비철금속 광업,광업,광업,Mining,기타광업,Mining,KEEP,,
B,광업,7,비금속광물 광업;연료용 제외,71,토사석 광업,711,석회석 및 점토 광업,7111,석회석 광업,광업,광업,Mining,기타광업,Mining,KEEP,,
B,광업,7,비금속광물 광업;연료용 제외,71,토사석 광업,711,석회석 및 점토 광업,7112,고령토 및 기타 점토 광업,광업,광업,Mining,기타광업,Mining,KEEP,,
B,광업,7,비금속광물 광업;연료용 제외,71,토사석 광업,712,"석재, 쇄석 및 모래자갈 채취업",7121,건설용 석재 채굴업,광업,광업,Mining,기타광업,Mining,KEEP,,
B,광업,7,비금속광물 광업;연료용 제외,71,토사석 광업,712,"석재, 쇄석 및 모래자갈 채취업",7122,건설용 쇄석 생산업,광업,광업,Mining,기타광업,Mining,KEEP,,
B,광업,7,비금속광물 광업;연료용 제외,71,토사석 광업,712,"석재, 쇄석 및 모래자갈 채취업",7123,모래 및 자갈 채취업,광업,광업,Mining,기타광업,Mining,KEEP,,
B,광업,7,비금속광물 광업;연료용 제외,72,기타 비금속광물 광업,721,화학용및비료원료용광물광업,7210,화학용 및 비료원료용 광물 광업,광업,광업,Mining,기타광업,Mining,KEEP,,
B,광업,7,비금속광물 광업;연료용 제외,72,기타 비금속광물 광업,722,소금 채취업,7220,소금 채취업,광업,광업,Mining,기타광업,Mining,KEEP,,
B,광업,7,비금속광물 광업;연료용 제외,72,기타 비금속광물 광업,729,그외 기타 비금속광물 광업,7290,그외 기타 비금속광물 광업,광업,광업,Mining,기타광업,Mining,KEEP,,
B,광업,7,비금속광물 광업;연료용 제외,72,기타 비금속광물 광업,729,그외 기타 비금속광물 광업,7290,그외 기타 비금속광물 광업,광업,광업,Mining,기타광업,Mining,KEEP,,
B,광업,8,광업 지원 서비스업,80,광업 지원 서비스업,801,원유천연가스채굴서비스업,8010,원유 및 천연가스 채굴관련 서비스업,광업,광업,Mining,기타광업,Mining,KEEP,,
B,광업,8,광업 지원 서비스업,80,광업 지원 서비스업,809,기타 광업 지원 서비스업,8090,기타 광업 지원 서비스업,광업,광업,Mining,기타광업,Mining,KEEP,,
B,광업,8,광업 지원 서비스업,80,광업 지원 서비스업,809,기타 광업 지원 서비스업,8090,기타 광업 지원 서비스업,광업,광업,Mining,기타광업,Mining,KEEP,,
B,광업,8,광업 지원 서비스업,80,광업 지원 서비스업,809,기타 광업 지원 서비스업,8090,기타 광업 지원 서비스업,광업,광업,Mining,기타광업,Mining,KEEP,,
B,광업,8,광업 지원 서비스업,80,광업 지원 서비스업,809,기타 광업 지원 서비스업,8090,기타 광업 지원 서비스업,광업,광업,Mining,기타광업,Mining,KEEP,,
B,광업,8,광업 지원 서비스업,80,광업 지원 서비스업,809,기타 광업 지원 서비스업,8090,기타 광업 지원 서비스업,광업,광업,Mining,기타광업,Mining,KEEP,,
B,광업,8,광업 지원 서비스업,80,광업 지원 서비스업,809,기타 광업 지원 서비스업,8090,기타 광업 지원 서비스업,광업,광업,Mining,기타광업,Mining,KEEP,,
B,광업,8,광업 지원 서비스업,80,광업 지원 서비스업,809,기타 광업 지원 서비스업,8090,기타 광업 지원 서비스업,광업,광업,Mining,기타광업,Mining,KEEP,,
B,광업,8,광업 지원 서비스업,80,광업 지원 서비스업,809,기타 광업 지원 서비스업,8090,기타 광업 지원 서비스업,광업,광업,Mining,기타광업,Mining,KEEP,,
B,광업,8,광업 지원 서비스업,80,광업 지원 서비스업,809,기타 광업 지원 서비스업,8090,기타 광업 지원 서비스업,광업,광업,Mining,기타광업,Mining,KEEP,,
B,광업,8,광업 지원 서비스업,80,광업 지원 서비스업,809,기타 광업 지원 서비스업,8090,기타 광업 지원 서비스업,광업,광업,Mining,기타광업,Mining,KEEP,,
B,광업,8,광업 지원 서비스업,80,광업 지원 서비스업,809,기타 광업 지원 서비스업,8090,기타 광업 지원 서비스업,광업,광업,Mining,기타광업,Mining,KEEP,,
B,광업,8,광업 지원 서비스업,80,광업 지원 서비스업,809,기타 광업 지원 서비스업,8090,기타 광업 지원 서비스업,광업,광업,Mining,기타광업,Mining,KEEP,,
B,광업,8,광업 지원 서비스업,80,광업 지원 서비스업,809,기타 광업 지원 서비스업,8090,기타 광업 지원 서비스업,광업,광업,Mining,기타광업,Mining,KEEP,,
B,광업,8,광업 지원 서비스업,80,광업 지원 서비스업,809,기타 광업 지원 서비스업,8090,기타 광업 지원 서비스업,광업,광업,Mining,기타광업,Mining,KEEP,,
B,광업,8,광업 지원 서비스업,80,광업 지원 서비스업,809,기타 광업 지원 서비스업,8090,기타 광업 지원 서비스업,광업,광업,Mining,기타광업,Mining,KEEP,,
B,광업,8,광업 지원 서비스업,80,광업 지원 서비스업,809,기타 광업 지원 서비스업,8090,기타 광업 지원 서비스업,광업,광업,Mining,기타광업,Mining,KEEP,,
C,제조업,10,식료품제조업,101,"도축, 육류 가공 및 저장 처리업",1011,도축업,10110,도축업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,10,식료품제조업,101,"도축, 육류 가공 및 저장 처리업",1012,육류 가공 및 저장 처리업,10121,가금류 가공 및 저장 처리업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,10,식료품제조업,101,"도축, 육류 가공 및 저장 처리업",1012,육류 가공 및 저장 처리업,10129,기타 육류 가공 및 저장처리업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,10,식료품제조업,102,수산물 가공 및 저장 처리업,1021,수산동물 가공 및 저장 처리업,10211,"수산동물 훈제, 조리 및 유사 조제식품 제조업",음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,10,식료품제조업,102,수산물 가공 및 저장 처리업,1021,수산동물 가공 및 저장 처리업,10212,수산동물 건조 및 염장품 제조업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,10,식료품제조업,102,수산물 가공 및 저장 처리업,1021,수산동물 가공 및 저장 처리업,10213,수산동물 냉동품 제조업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,10,식료품제조업,102,수산물 가공 및 저장 처리업,1021,수산동물 가공 및 저장 처리업,10219,기타 수산동물 가공및저장처리업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,10,식료품제조업,102,수산물 가공 및 저장 처리업,1021,수산동물 가공 및 저장 처리업,10219,기타 수산동물 가공 및 저장처리업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,10,식료품제조업,102,수산물 가공 및 저장 처리업,1022,수산식물 가공 및 저장 처리업,10220,수산식물 가공 및 저장 처리업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,10,식료품제조업,103,"과실, 채소 가공 및 저장 처리업",1030,"과실, 채소 가공 및 저장 처리업",10301,과실 및 채소 절임식품 제조업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,10,식료품제조업,103,"과실, 채소 가공 및 저장 처리업",1030,"과실, 채소 가공 및 저장 처리업",10301,과실 및 채소 절임식품 제조업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,10,식료품제조업,103,"과실, 채소 가공 및 저장 처리업",1030,"과실, 채소 가공 및 저장 처리업",10309,기타과실·채소 가공및저장처리업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,10,식료품제조업,103,"과실, 채소 가공 및 저장 처리업",1030,"과실, 채소 가공 및 저장 처리업",10309,기타과실·채소 가공및저장처리업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,10,식료품제조업,103,"과실, 채소 가공 및 저장 처리업",1030,"과실, 채소 가공 및 저장 처리업",10309,기타과실·채소가공및저장처리업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,10,식료품제조업,104,동물성 및 식물성 유지 제조업,1040,동물성 및 식물성 유지 제조업,10401,동물성 유지 제조업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,10,식료품제조업,104,동물성 및 식물성 유지 제조업,1040,동물성 및 식물성 유지 제조업,10402,식물성 유지 제조업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,10,식료품제조업,104,동물성 및 식물성 유지 제조업,1040,동물성 및 식물성 유지 제조업,10403,식용 정제유 및 가공유 제조업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,10,식료품제조업,105,낙농제품 및 식용빙과류 제조업,1050,낙농제품 및 식용빙과류 제조업,10501,액상시유및기타낙농제품 제조업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,10,식료품제조업,105,낙농제품 및 식용빙과류 제조업,1050,낙농제품 및 식용빙과류 제조업,10502,아이스크림및기타식용빙과류제조,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,10,식료품제조업,106,"곡물가공품, 전분 및 전분제품 제조업",1061,곡물 가공품 제조업,10611,곡물 도정업,음식료품,음식담배,Rice,미곡,Food,CHANGE,Inseparable from KCIS 10,
C,제조업,10,식료품제조업,106,"곡물가공품, 전분 및 전분제품 제조업",1061,곡물 가공품 제조업,10612,곡물 제분업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,10,식료품제조업,106,"곡물가공품, 전분 및 전분제품 제조업",1061,곡물 가공품 제조업,10613,제과용 혼합분말 및 반죽 제조업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,10,식료품제조업,106,"곡물가공품, 전분 및 전분제품 제조업",1061,곡물 가공품 제조업,10619,기타 곡물가공품 제조업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,10,식료품제조업,106,"곡물가공품, 전분 및 전분제품 제조업",1062,전분및당류제조업,10620,전분제품 및 당류 제조업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,10,식료품제조업,106,"곡물가공품, 전분 및 전분제품 제조업",1062,전분및당류제조업,10620,전분제품 및 당류 제조업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,10,식료품제조업,107,기타 식품 제조업,1071,"떡, 빵 및 과자류 제조업",10711,떡류 제조업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,10,식료품제조업,107,기타 식품 제조업,1071,"떡, 빵 및 과자류 제조업",10712,빵류 제조업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,10,식료품제조업,107,기타 식품 제조업,1071,"떡, 빵 및 과자류 제조업",10713,코코아 제품 및 과자류 제조업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,10,식료품제조업,107,기타 식품 제조업,1071,"떡, 빵 및 과자류 제조업",10713,코코아 제품 및 과자류 제조업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,10,식료품제조업,107,기타 식품 제조업,1072,설탕 제조업,10720,설탕 제조업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,10,식료품제조업,107,기타 식품 제조업,1073,면류마카로니유사식품제조업,10730,"면류, 마카로니및유사식품 제조업",음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,10,식료품제조업,107,기타 식품 제조업,1074,조미료 및 식품 첨가물 제조업,10741,"식초, 발효 및 화학 조미료 제조업",음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,10,식료품제조업,107,기타 식품 제조업,1074,조미료 및 식품 첨가물 제조업,10742,천연 및 혼합조제 조미료 제조업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,10,식료품제조업,107,기타 식품 제조업,1074,조미료 및 식품 첨가물 제조업,10743,장류 제조업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,10,식료품제조업,107,기타 식품 제조업,1074,조미료 및 식품 첨가물 제조업,10749,기타 식품 첨가물 제조업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,10,식료품제조업,107,기타 식품 제조업,1079,기타 식료품 제조업,10791,커피 가공업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,10,식료품제조업,107,기타 식품 제조업,1079,기타 식료품 제조업,10792,차류 가공업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,10,식료품제조업,107,기타 식품 제조업,1079,기타 식료품 제조업,10793,수프 및 균질화식품 제조업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,10,식료품제조업,107,기타 식품 제조업,1079,기타 식료품 제조업,10794,두부 및 유사식품 제조업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,10,식료품제조업,107,기타 식품 제조업,1079,기타 식료품 제조업,10795,인삼식품 제조업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,10,식료품제조업,107,기타 식품 제조업,1079,기타 식료품 제조업,10796,건강보조용 액화식품 제조업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,10,식료품제조업,107,기타 식품 제조업,1079,기타 식료품 제조업,10797,건강기능식품 제조업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,10,식료품제조업,107,기타 식품 제조업,1079,기타 식료품 제조업,10798,도시락식사용 조리식품 제조업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,10,식료품제조업,107,기타 식품 제조업,1079,기타 식료품 제조업,10799,그외 기타 식료품 제조업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,10,식료품제조업,108,동물용 사료 및 조제식품 제조업,1080,동물용 사료 및 조제식품 제조업,10800,동물용 사료 및 조제식품 제조업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,11,음료 제조업,111,알콜음료 제조업,1111,발효주 제조업,11111,탁주 및 약주 제조업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,11,음료 제조업,111,알콜음료 제조업,1111,발효주 제조업,11112,청주 제조업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,11,음료 제조업,111,알콜음료 제조업,1111,발효주 제조업,11113,맥아 및 맥주 제조업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,11,음료 제조업,111,알콜음료 제조업,1111,발효주 제조업,11113,맥아 및 맥주 제조업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,11,음료 제조업,111,알콜음료 제조업,1111,발효주 제조업,11119,기타 발효주 제조업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,11,음료 제조업,111,알콜음료 제조업,1112,증류주 및 합성주 제조업,11121,주정 제조업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,11,음료 제조업,111,알콜음료 제조업,1112,증류주 및 합성주 제조업,11122,소주 제조업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,11,음료 제조업,111,알콜음료 제조업,1112,증류주 및 합성주 제조업,11129,기타 증류주 및 합성주 제조업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,11,음료 제조업,112,비알콜음료 및 얼음 제조업,1120,비알콜음료 및 얼음 제조업,11201,얼음 제조업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,11,음료 제조업,112,비알콜음료 및 얼음 제조업,1120,비알콜음료 및 얼음 제조업,11202,생수 생산업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,11,음료 제조업,112,비알콜음료 및 얼음 제조업,1120,비알콜음료 및 얼음 제조업,11209,기타 비알콜음료 제조업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,12,담배 제조업,120,담배 제조업,1200,담배 제조업,12001,담배 재건조업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
